name,type,RD,Cache,sum_RTT,queries,total_time,cache_hits,cache_misses,num_answers
youngsnetwork.it,1,0,0,4.125683546066284,18,4.132696151733398,,,0
youngsnetwork.it,1,1,0,4.465558052062988,18,4.472325801849365,,,0
youngsnetwork.it,1,0,1,1.4303090572357178,7,1.537799596786499,6,6,0
gvowebcast.com,1,0,0,0.6045875549316406,3,0.6060116291046143,,,2
gvowebcast.com,1,1,0,0.5257434844970703,3,0.5274841785430908,,,2
gvowebcast.com,1,0,1,0.20238518714904785,1,0.5156474113464355,2,0,2
aspiringwriter.ca,1,0,0,2.3501534461975098,12,7.360853672027588,,,0
aspiringwriter.ca,1,1,0,2.7750332355499268,13,2.779970169067383,,,0
aspiringwriter.ca,1,0,1,1.192828893661499,5,1.5383620262145996,5,4,0
mpskota.com,1,0,0,0.48535609245300293,3,0.4871678352355957,,,1
mpskota.com,1,1,0,0.6441404819488525,3,0.6455316543579102,,,1
mpskota.com,1,0,1,0.20443391799926758,1,0.5151615142822266,2,0,1
ohdev.co.uk,1,0,0,1.1116538047790527,6,1.1142940521240234,,,1
ohdev.co.uk,1,1,0,1.1383755207061768,6,1.1406958103179932,,,1
ohdev.co.uk,1,0,1,0.2666597366333008,1,0.8333020210266113,2,0,1
thereeftank.com,1,0,0,0.6345005035400391,3,0.6365625858306885,,,4
thereeftank.com,1,1,0,0.6117489337921143,3,0.6128795146942139,,,4
thereeftank.com,1,0,1,0.6941549777984619,3,5.70203971862793,1,2,4
